(A1) Time: 5, Runtime: 2400, Length: 174.26297782421466, Nodes Expanded: 300, Memory: 1640
(A2) Time: 3, Runtime: 3456, Length: 221.38582233137686, Nodes Expanded: 432, Memory: 2172
(A3) Time: 1, Runtime: 2328, Length: 223.86095757066127, Nodes Expanded: 291, Memory: 1775
(A4) Time: 1, Runtime: 1224, Length: 148.83378413094857, Nodes Expanded: 153, Memory: 967
(A5) Time: 9, Runtime: 15224, Length: 232.18796885077717, Nodes Expanded: 1903, Memory: 6551
(A6) Time: 2, Runtime: 5760, Length: 205.540890912135, Nodes Expanded: 720, Memory: 2876
(A7) Time: 1, Runtime: 2648, Length: 131.28758107979846, Nodes Expanded: 331, Memory: 1660
(A8) Time: 1, Runtime: 2160, Length: 207.97034611053286, Nodes Expanded: 270, Memory: 1674
(A9) Time: 3, Runtime: 6656, Length: 163.82768747653864, Nodes Expanded: 832, Memory: 3198
(A10) Time: 1, Runtime: 1416, Length: 103.60470773009195, Nodes Expanded: 177, Memory: 1175
(B1) Time: 1, Runtime: 1256, Length: 164.03290027001893, Nodes Expanded: 157, Memory: 1169
(B2) Time: 1, Runtime: 2024, Length: 219.7825304459152, Nodes Expanded: 253, Memory: 1565
(B3) Time: 1, Runtime: 3184, Length: 167.15180361560908, Nodes Expanded: 398, Memory: 1859
(B4) Time: 1, Runtime: 816, Length: 137.92477438861823, Nodes Expanded: 102, Memory: 848
(B5) Time: 2, Runtime: 5472, Length: 236.03594859722392, Nodes Expanded: 684, Memory: 2949
(B6) Time: 1, Runtime: 1824, Length: 122.59608575874043, Nodes Expanded: 228, Memory: 1138
(B7) Time: 1, Runtime: 2864, Length: 174.1316196646732, Nodes Expanded: 358, Memory: 1874
(B8) Time: 2, Runtime: 6504, Length: 131.74163953378007, Nodes Expanded: 813, Memory: 2967
(B9) Time: 0, Runtime: 1464, Length: 226.4549961555358, Nodes Expanded: 183, Memory: 1395
(B10) Time: 1, Runtime: 4912, Length: 247.89407447862456, Nodes Expanded: 614, Memory: 2764
(C1) Time: 3, Runtime: 9128, Length: 206.10307524751738, Nodes Expanded: 1141, Memory: 4462
(C2) Time: 8, Runtime: 18544, Length: 235.7476278692177, Nodes Expanded: 2318, Memory: 8030
(C3) Time: 3, Runtime: 9120, Length: 233.84140494896093, Nodes Expanded: 1140, Memory: 4544
(C4) Time: 1, Runtime: 1752, Length: 150.77869760331527, Nodes Expanded: 219, Memory: 1308
(C5) Time: 1, Runtime: 1812, Length: 208.30003589374994, Nodes Expanded: 237, Memory: 1414
(C6) Time: 1, Runtime: 1696, Length: 132.46588193869752, Nodes Expanded: 212, Memory: 1313
(C7) Time: 3, Runtime: 7112, Length: 231.32579348883255, Nodes Expanded: 889, Memory: 3675
(C8) Time: 1, Runtime: 952, Length: 153.20573580374355, Nodes Expanded: 119, Memory: 938
(C9) Time: 1, Runtime: 3016, Length: 196.91094859722375, Nodes Expanded: 377, Memory: 1810
(C10) Time: 1, Runtime: 1296, Length: 82.26219330881973, Nodes Expanded: 162, Memory: 1087
(D1) Time: 1, Runtime: 2376, Length: 252.78799577108947, Nodes Expanded: 297, Memory: 1775
(D2) Time: 1, Runtime: 1800, Length: 164.2688129734929, Nodes Expanded: 225, Memory: 1323
(D3) Time: 0, Runtime: 1704, Length: 178.13403666264287, Nodes Expanded: 213, Memory: 1350
(D4) Time: 0, Runtime: 1264, Length: 164.79761889578052, Nodes Expanded: 158, Memory: 1279
(D5) Time: 0, Runtime: 776, Length: 147.95294898167032, Nodes Expanded: 97, Memory: 839
(D6) Time: 0, Runtime: 1536, Length: 235.60081143570721, Nodes Expanded: 192, Memory: 1442
(D7) Time: 0, Runtime: 1916, Length: 263.1865978733343, Nodes Expanded: 250, Memory: 1688
(D8) Time: 1, Runtime: 1416, Length: 131.5856781186547, Nodes Expanded: 177, Memory: 1065
(D9) Time: 0, Runtime: 1248, Length: 150.58504678941927, Nodes Expanded: 156, Memory: 1073
(D10) Time: 0, Runtime: 2856, Length: 135.76093065034885, Nodes Expanded: 357, Memory: 1677
(E1) Time: 1, Runtime: 2528, Length: 158.76550314115644, Nodes Expanded: 316, Memory: 1693
(E2) Time: 2, Runtime: 6164, Length: 151.36232854810436, Nodes Expanded: 772, Memory: 3160
(E3) Time: 0, Runtime: 1784, Length: 190.2765421104774, Nodes Expanded: 223, Memory: 1388
(E4) Time: 3, Runtime: 9288, Length: 235.55497820866103, Nodes Expanded: 1161, Memory: 4332
(E5) Time: 0, Runtime: 1064, Length: 58.974242404917504, Nodes Expanded: 133, Memory: 1027
(E6) Time: 0, Runtime: 2864, Length: 205.13961030678925, Nodes Expanded: 358, Memory: 1823
(E7) Time: 0, Runtime: 1584, Length: 172.88225099390866, Nodes Expanded: 198, Memory: 1278
(E8) Time: 1, Runtime: 856, Length: 152.41005576285696, Nodes Expanded: 107, Memory: 912
(E9) Time: 0, Runtime: 1248, Length: 177.49610370561527, Nodes Expanded: 156, Memory: 1251
(E10) Time: 1, Runtime: 1704, Length: 226.8438219469306, Nodes Expanded: 213, Memory: 1532

(Average) Time: 1.44, Runtime: 3479.92, Length: 180.51632813814905, Nodes Expanded: 435.44, Memory: 2054.08
