(A1) Time: 3, Runtime: 1240, Length: 216.7387443927345, Nodes Expanded: 155, Memory: 1109
(A2) Time: 3, Runtime: 1544, Length: 252.73506473629416, Nodes Expanded: 193, Memory: 1381
(A3) Time: 0, Runtime: 1064, Length: 249.40626778744422, Nodes Expanded: 133, Memory: 1146
(A4) Time: 0, Runtime: 744, Length: 154.87972567696693, Nodes Expanded: 93, Memory: 785
(A5) Time: 1, Runtime: 2264, Length: 250.45358031090564, Nodes Expanded: 283, Memory: 1662
(A6) Time: 1, Runtime: 1632, Length: 221.83988078535825, Nodes Expanded: 204, Memory: 1272
(A7) Time: 1, Runtime: 1192, Length: 160.9992603517926, Nodes Expanded: 149, Memory: 1002
(A8) Time: 0, Runtime: 976, Length: 231.6614716074873, Nodes Expanded: 122, Memory: 1121
(A9) Time: 1, Runtime: 1936, Length: 181.55865786510142, Nodes Expanded: 242, Memory: 1356
(A10) Time: 1, Runtime: 1448, Length: 172.00357133746823, Nodes Expanded: 181, Memory: 1087
(B1) Time: 1, Runtime: 952, Length: 197.1189482127773, Nodes Expanded: 119, Memory: 1021
(B2) Time: 0, Runtime: 1208, Length: 234.54598641320567, Nodes Expanded: 151, Memory: 1274
(B3) Time: 1, Runtime: 1312, Length: 178.1370849898476, Nodes Expanded: 164, Memory: 1117
(B4) Time: 0, Runtime: 688, Length: 155.708152801713, Nodes Expanded: 86, Memory: 786
(B5) Time: 1, Runtime: 1640, Length: 269.01260800011084, Nodes Expanded: 205, Memory: 1422
(B6) Time: 0, Runtime: 776, Length: 130.94811498573122, Nodes Expanded: 97, Memory: 736
(B7) Time: 0, Runtime: 1776, Length: 197.8708422004837, Nodes Expanded: 222, Memory: 1461
(B8) Time: 0, Runtime: 2272, Length: 149.47108575874043, Nodes Expanded: 284, Memory: 1366
(B9) Time: 0, Runtime: 1072, Length: 231.65626778744434, Nodes Expanded: 134, Memory: 1233
(B10) Time: 1, Runtime: 1896, Length: 250.3416664540924, Nodes Expanded: 237, Memory: 1558
(C1) Time: 2, Runtime: 5336, Length: 247.42109473217778, Nodes Expanded: 667, Memory: 2760
(C2) Time: 1, Runtime: 3248, Length: 260.4363363682025, Nodes Expanded: 406, Memory: 2040
(C3) Time: 1, Runtime: 1512, Length: 268.0251711330344, Nodes Expanded: 189, Memory: 1359
(C4) Time: 0, Runtime: 1200, Length: 164.3289501350094, Nodes Expanded: 150, Memory: 1064
(C5) Time: 0, Runtime: 1195, Length: 233.91704525163362, Nodes Expanded: 161, Memory: 1135
(C6) Time: 0, Runtime: 704, Length: 171.50714267493632, Nodes Expanded: 88, Memory: 749
(C7) Time: 1, Runtime: 1728, Length: 261.7705986422271, Nodes Expanded: 216, Memory: 1406
(C8) Time: 1, Runtime: 800, Length: 162.276803615609, Nodes Expanded: 100, Memory: 865
(C9) Time: 1, Runtime: 1192, Length: 201.67440456451433, Nodes Expanded: 149, Memory: 1116
(C10) Time: 1, Runtime: 2656, Length: 98.36727086301549, Nodes Expanded: 332, Memory: 1703
(D1) Time: 1, Runtime: 1104, Length: 265.26376233960934, Nodes Expanded: 138, Memory: 1185
(D2) Time: 0, Runtime: 1112, Length: 175.3125990266733, Nodes Expanded: 139, Memory: 1009
(D3) Time: 1, Runtime: 1192, Length: 186.79089091213535, Nodes Expanded: 149, Memory: 1154
(D4) Time: 0, Runtime: 1568, Length: 171.41221125569473, Nodes Expanded: 196, Memory: 1416
(D5) Time: 0, Runtime: 688, Length: 152.24368670764585, Nodes Expanded: 86, Memory: 814
(D6) Time: 0, Runtime: 1456, Length: 268.8694712230406, Nodes Expanded: 182, Memory: 1396
(D7) Time: 1, Runtime: 1377, Length: 291.3761992066859, Nodes Expanded: 186, Memory: 1381
(D8) Time: 0, Runtime: 896, Length: 138.75725099390857, Nodes Expanded: 112, Memory: 826
(D9) Time: 1, Runtime: 968, Length: 152.620580695352, Nodes Expanded: 121, Memory: 964
(D10) Time: 0, Runtime: 1880, Length: 163.27806627407983, Nodes Expanded: 235, Memory: 1222
(E1) Time: 0, Runtime: 1184, Length: 179.0302217669179, Nodes Expanded: 148, Memory: 1110
(E2) Time: 0, Runtime: 1472, Length: 188.86448404094224, Nodes Expanded: 184, Memory: 1102
(E3) Time: 0, Runtime: 1200, Length: 193.86232854810427, Nodes Expanded: 150, Memory: 1167
(E4) Time: 0, Runtime: 2064, Length: 243.95231765243474, Nodes Expanded: 258, Memory: 1547
(E5) Time: 0, Runtime: 1064, Length: 58.974242404917504, Nodes Expanded: 133, Memory: 1027
(E6) Time: 0, Runtime: 1440, Length: 207.27564927611033, Nodes Expanded: 180, Memory: 1287
(E7) Time: 0, Runtime: 1136, Length: 179.40306627407998, Nodes Expanded: 142, Memory: 1077
(E8) Time: 0, Runtime: 776, Length: 160.28442443362152, Nodes Expanded: 97, Memory: 883
(E9) Time: 0, Runtime: 928, Length: 184.68481220460004, Nodes Expanded: 116, Memory: 1089
(E10) Time: 0, Runtime: 1312, Length: 247.67529739888164, Nodes Expanded: 164, Memory: 1369

(Average) Time: 0.54, Runtime: 1440.4, Length: 199.33486726142996, Nodes Expanded: 180.56, Memory: 1222.34
