(A1) Time: 12, Runtime: 9264, Length: 70.23985386504599, Nodes Expanded: 1158, Memory: 4322
(A2) Time: 25, Runtime: 32190, Length: 126.84277592640383, Nodes Expanded: 4053, Memory: 13345
(A3) Time: 10, Runtime: 19041, Length: 97.07716446627536, Nodes Expanded: 2385, Memory: 8150
(A4) Time: 4, Runtime: 11112, Length: 62.95952377915605, Nodes Expanded: 1389, Memory: 4994
(A5) Time: 7, Runtime: 16137, Length: 126.48859120657515, Nodes Expanded: 2022, Memory: 7168
(A6) Time: 13, Runtime: 23442, Length: 130.3105518528077, Nodes Expanded: 2940, Memory: 9729
(A7) Time: 2, Runtime: 4030, Length: 68.59188309203678, Nodes Expanded: 509, Memory: 2094
(A8) Time: 17, Runtime: 26553, Length: 92.83820343559645, Nodes Expanded: 3327, Memory: 11224
(A9) Time: 17, Runtime: 28416, Length: 118.2955717219146, Nodes Expanded: 3552, Memory: 11485
(A10) Time: 0, Runtime: 896, Length: 44.913582233137674, Nodes Expanded: 112, Memory: 836
(B1) Time: 4, Runtime: 10856, Length: 69.28274708385942, Nodes Expanded: 1357, Memory: 4970
(B2) Time: 12, Runtime: 24890, Length: 138.04430906344382, Nodes Expanded: 3127, Memory: 10235
(B3) Time: 20, Runtime: 34224, Length: 137.44595949289325, Nodes Expanded: 4311, Memory: 13477
(B4) Time: 7, Runtime: 19480, Length: 90.04252339470963, Nodes Expanded: 2435, Memory: 8064
(B5) Time: 30, Runtime: 43520, Length: 172.95205614730347, Nodes Expanded: 5455, Memory: 17662
(B6) Time: 13, Runtime: 23022, Length: 99.8770471738657, Nodes Expanded: 2892, Memory: 9268
(B7) Time: 22, Runtime: 30784, Length: 156.49773618819006, Nodes Expanded: 3869, Memory: 12754
(B8) Time: 22, Runtime: 30656, Length: 95.62615433949874, Nodes Expanded: 3832, Memory: 12507
(B9) Time: 69, Runtime: 55020, Length: 159.9511633129362, Nodes Expanded: 6897, Memory: 21881
(B10) Time: 10, Runtime: 19790, Length: 123.4028047689484, Nodes Expanded: 2479, Memory: 8782
(C1) Time: 13, Runtime: 23355, Length: 152.754833995939, Nodes Expanded: 2961, Memory: 9606
(C2) Time: 3, Runtime: 10280, Length: 89.83236828631817, Nodes Expanded: 1285, Memory: 4780
(C3) Time: 24, Runtime: 32498, Length: 125.28884373826936, Nodes Expanded: 4066, Memory: 13531
(C4) Time: 7, Runtime: 18043, Length: 137.8050865276332, Nodes Expanded: 2294, Memory: 7431
(C5) Time: 10, Runtime: 20168, Length: 107.01219330881977, Nodes Expanded: 2521, Memory: 8777
(C6) Time: 12, Runtime: 20811, Length: 116.64823227814078, Nodes Expanded: 2631, Memory: 8517
(C7) Time: 21, Runtime: 28370, Length: 115.52628060534583, Nodes Expanded: 3574, Memory: 12152
(C8) Time: 9, Runtime: 18888, Length: 111.19874631496663, Nodes Expanded: 2361, Memory: 8010
(C9) Time: 22, Runtime: 31249, Length: 121.60381489572487, Nodes Expanded: 3929, Memory: 12784
(C10) Time: 1, Runtime: 1920, Length: 52.87436867076458, Nodes Expanded: 240, Memory: 1214
(D1) Time: 28, Runtime: 34761, Length: 156.56791116568849, Nodes Expanded: 4372, Memory: 14151
(D2) Time: 8, Runtime: 17608, Length: 101.06486283848348, Nodes Expanded: 2201, Memory: 7568
(D3) Time: 60, Runtime: 52826, Length: 147.44874631496663, Nodes Expanded: 6619, Memory: 20826
(D4) Time: 20, Runtime: 28690, Length: 109.84277592640387, Nodes Expanded: 3587, Memory: 12077
(D5) Time: 3, Runtime: 8630, Length: 73.72513523928454, Nodes Expanded: 1081, Memory: 3991
(D6) Time: 42, Runtime: 42687, Length: 151.9125810797986, Nodes Expanded: 5361, Memory: 17253
(D7) Time: 21, Runtime: 30267, Length: 126.64975644174326, Nodes Expanded: 3789, Memory: 12705
(D8) Time: 0, Runtime: 2427, Length: 65.22361107568207, Nodes Expanded: 312, Memory: 1430
(D9) Time: 34, Runtime: 38615, Length: 133.5538238691623, Nodes Expanded: 4858, Memory: 15216
(D10) Time: 19, Runtime: 27705, Length: 105.26093065034893, Nodes Expanded: 3465, Memory: 11463
(E1) Time: 1, Runtime: 4576, Length: 70.56828098979213, Nodes Expanded: 572, Memory: 2541
(E2) Time: 26, Runtime: 33250, Length: 122.52323227814078, Nodes Expanded: 4169, Memory: 13276
(E3) Time: 2, Runtime: 8632, Length: 99.42577554195739, Nodes Expanded: 1079, Memory: 4191
(E4) Time: 53, Runtime: 48793, Length: 150.40280476894824, Nodes Expanded: 6141, Memory: 19531
(E5) Time: 1, Runtime: 4440, Length: 61.219931419241746, Nodes Expanded: 555, Memory: 2484
(E6) Time: 1, Runtime: 3809, Length: 64.30203820042826, Nodes Expanded: 478, Memory: 2407
(E7) Time: 1, Runtime: 5011, Length: 65.2324945521653, Nodes Expanded: 638, Memory: 2851
(E8) Time: 12, Runtime: 21987, Length: 135.51550314115636, Nodes Expanded: 2757, Memory: 9021
(E9) Time: 5, Runtime: 12494, Length: 106.66447506750472, Nodes Expanded: 1567, Memory: 5716
(E10) Time: 30, Runtime: 35067, Length: 155.4208332270464, Nodes Expanded: 4395, Memory: 14572

(Average) Time: 16.1, Runtime: 22623.6, Length: 110.2950094990893, Nodes Expanded: 2839.18, Memory: 9460.38
