(A1) Time: 9, Runtime: 3984, Length: 127.70762979144988, Nodes Expanded: 498, Memory: 2258
(A2) Time: 1, Runtime: 3564, Length: 212.95447314527266, Nodes Expanded: 447, Memory: 2181
(A3) Time: 10, Runtime: 17328, Length: 195.97376426184175, Nodes Expanded: 2166, Memory: 7524
(A4) Time: 2, Runtime: 5704, Length: 148.03263876488728, Nodes Expanded: 713, Memory: 2733
(A5) Time: 0, Runtime: 1632, Length: 157.55750352560275, Nodes Expanded: 204, Memory: 1430
(A6) Time: 2, Runtime: 5344, Length: 211.12147352971897, Nodes Expanded: 668, Memory: 2788
(A7) Time: 0, Runtime: 831, Length: 122.8614357137372, Nodes Expanded: 114, Memory: 809
(A8) Time: 1, Runtime: 4984, Length: 203.6683079101046, Nodes Expanded: 623, Memory: 2614
(A9) Time: 1, Runtime: 3280, Length: 166.19164850721748, Nodes Expanded: 410, Memory: 1878
(A10) Time: 0, Runtime: 856, Length: 44.913582233137674, Nodes Expanded: 107, Memory: 823
(B1) Time: 1, Runtime: 2968, Length: 152.82426932522986, Nodes Expanded: 371, Memory: 1742
(B2) Time: 1, Runtime: 2336, Length: 197.39533713709545, Nodes Expanded: 292, Memory: 1668
(B3) Time: 1, Runtime: 1840, Length: 145.85039674441614, Nodes Expanded: 230, Memory: 1265
(B4) Time: 1, Runtime: 1816, Length: 126.97718241315022, Nodes Expanded: 227, Memory: 1224
(B5) Time: 1, Runtime: 2560, Length: 251.17135623730965, Nodes Expanded: 320, Memory: 1902
(B6) Time: 1, Runtime: 1240, Length: 116.87121202458749, Nodes Expanded: 155, Memory: 950
(B7) Time: 1, Runtime: 2512, Length: 255.08010447450803, Nodes Expanded: 314, Memory: 1814
(B8) Time: 0, Runtime: 1968, Length: 165.79126073623885, Nodes Expanded: 246, Memory: 1239
(B9) Time: 1, Runtime: 3176, Length: 222.2374817342638, Nodes Expanded: 397, Memory: 2047
(B10) Time: 0, Runtime: 2496, Length: 243.98391039679566, Nodes Expanded: 312, Memory: 1863
(C1) Time: 0, Runtime: 1336, Length: 185.43034803276493, Nodes Expanded: 167, Memory: 1230
(C2) Time: 2, Runtime: 5072, Length: 135.79215357060588, Nodes Expanded: 634, Memory: 2688
(C3) Time: 2, Runtime: 8032, Length: 250.61006473629422, Nodes Expanded: 1004, Memory: 3941
(C4) Time: 1, Runtime: 2792, Length: 202.45852262581673, Nodes Expanded: 349, Memory: 1747
(C5) Time: 2, Runtime: 8568, Length: 233.25561851133398, Nodes Expanded: 1071, Memory: 4085
(C6) Time: 2, Runtime: 7592, Length: 153.94469683442253, Nodes Expanded: 949, Memory: 3365
(C7) Time: 0, Runtime: 1800, Length: 252.25903666264284, Nodes Expanded: 225, Memory: 1483
(C8) Time: 0, Runtime: 2848, Length: 178.99673503485067, Nodes Expanded: 356, Memory: 1672
(C9) Time: 4, Runtime: 12925, Length: 186.1186867076458, Nodes Expanded: 1619, Memory: 5499
(C10) Time: 0, Runtime: 1216, Length: 162.7416395337801, Nodes Expanded: 152, Memory: 984
(D1) Time: 4, Runtime: 7942, Length: 235.74116139070426, Nodes Expanded: 1004, Memory: 3839
(D2) Time: 3, Runtime: 7824, Length: 178.3086578651014, Nodes Expanded: 978, Memory: 3569
(D3) Time: 1, Runtime: 1104, Length: 163.59671708797583, Nodes Expanded: 138, Memory: 1079
(D4) Time: 1, Runtime: 3904, Length: 211.1373464949791, Nodes Expanded: 488, Memory: 2232
(D5) Time: 0, Runtime: 1584, Length: 123.49926035179243, Nodes Expanded: 198, Memory: 1163
(D6) Time: 4, Runtime: 13432, Length: 236.35486091625137, Nodes Expanded: 1679, Memory: 6064
(D7) Time: 1, Runtime: 4245, Length: 265.02885078947486, Nodes Expanded: 531, Memory: 2574
(D8) Time: 0, Runtime: 739, Length: 75.13046532517444, Nodes Expanded: 95, Memory: 747
(D9) Time: 0, Runtime: 1232, Length: 163.74100820454467, Nodes Expanded: 154, Memory: 1039
(D10) Time: 0, Runtime: 960, Length: 143.37615433949864, Nodes Expanded: 120, Memory: 856
(E1) Time: 0, Runtime: 1224, Length: 96.14912511250789, Nodes Expanded: 153, Memory: 1154
(E2) Time: 0, Runtime: 1488, Length: 176.301037047089, Nodes Expanded: 186, Memory: 1183
(E3) Time: 0, Runtime: 1424, Length: 136.90585309615312, Nodes Expanded: 178, Memory: 1264
(E4) Time: 1, Runtime: 5069, Length: 213.16436674853244, Nodes Expanded: 652, Memory: 2680
(E5) Time: 0, Runtime: 1088, Length: 121.16536790187179, Nodes Expanded: 136, Memory: 1057
(E6) Time: 0, Runtime: 1390, Length: 194.93860018001277, Nodes Expanded: 179, Memory: 1260
(E7) Time: 0, Runtime: 1050, Length: 170.8822509939086, Nodes Expanded: 135, Memory: 1018
(E8) Time: 1, Runtime: 2584, Length: 171.5200756319638, Nodes Expanded: 323, Memory: 1638
(E9) Time: 0, Runtime: 2808, Length: 179.09419177103422, Nodes Expanded: 351, Memory: 1894
(E10) Time: 0, Runtime: 2544, Length: 247.8563850798543, Nodes Expanded: 318, Memory: 1872

(Average) Time: 1.26, Runtime: 3724.7, Length: 178.29328414370298, Nodes Expanded: 466.72, Memory: 2112.56
