(A1) Time: 7, Runtime: 2840, Length: 75.93897000411636, Nodes Expanded: 355, Memory: 1959
(A2) Time: 8, Runtime: 14552, Length: 127.71562043356593, Nodes Expanded: 1819, Memory: 6536
(A3) Time: 2, Runtime: 3671, Length: 100.79404755831224, Nodes Expanded: 460, Memory: 2458
(A4) Time: 1, Runtime: 4488, Length: 66.30356236403078, Nodes Expanded: 561, Memory: 2379
(A5) Time: 8, Runtime: 15593, Length: 135.40306627408017, Nodes Expanded: 1954, Memory: 6964
(A6) Time: 8, Runtime: 15771, Length: 126.37794000823283, Nodes Expanded: 1980, Memory: 6914
(A7) Time: 1, Runtime: 2777, Length: 65.00483399593911, Nodes Expanded: 349, Memory: 1814
(A8) Time: 3, Runtime: 8176, Length: 102.2496301758963, Nodes Expanded: 1022, Memory: 4159
(A9) Time: 10, Runtime: 20864, Length: 121.80229970555989, Nodes Expanded: 2608, Memory: 8591
(A10) Time: 0, Runtime: 864, Length: 47.57931995911328, Nodes Expanded: 108, Memory: 868
(B1) Time: 1, Runtime: 2552, Length: 77.185290347676, Nodes Expanded: 319, Memory: 1890
(B2) Time: 3, Runtime: 10224, Length: 136.7471048589546, Nodes Expanded: 1278, Memory: 5004
(B3) Time: 20, Runtime: 30898, Length: 137.50661966467308, Nodes Expanded: 3893, Memory: 12287
(B4) Time: 3, Runtime: 11088, Length: 92.3237463149666, Nodes Expanded: 1386, Memory: 4914
(B5) Time: 19, Runtime: 28790, Length: 179.24952185692445, Nodes Expanded: 3610, Memory: 12050
(B6) Time: 5, Runtime: 15192, Length: 97.51245481395135, Nodes Expanded: 1899, Memory: 6237
(B7) Time: 11, Runtime: 22832, Length: 148.96588193869766, Nodes Expanded: 2866, Memory: 9658
(B8) Time: 13, Runtime: 25561, Length: 96.5477272147525, Nodes Expanded: 3197, Memory: 10592
(B9) Time: 5, Runtime: 13609, Length: 152.3506582495479, Nodes Expanded: 1706, Memory: 6346
(B10) Time: 3, Runtime: 10307, Length: 135.31055185280792, Nodes Expanded: 1297, Memory: 5093
(C1) Time: 10, Runtime: 22159, Length: 153.54036790187172, Nodes Expanded: 2807, Memory: 9144
(C2) Time: 1, Runtime: 3688, Length: 98.2808530961533, Nodes Expanded: 461, Memory: 2411
(C3) Time: 13, Runtime: 25370, Length: 133.65154211047755, Nodes Expanded: 3181, Memory: 11247
(C4) Time: 6, Runtime: 16316, Length: 136.97665940288698, Nodes Expanded: 2077, Memory: 6718
(C5) Time: 2, Runtime: 7016, Length: 113.58998910433064, Nodes Expanded: 877, Memory: 3687
(C6) Time: 5, Runtime: 12862, Length: 116.83389244992063, Nodes Expanded: 1625, Memory: 5535
(C7) Time: 7, Runtime: 17584, Length: 125.86753236814735, Nodes Expanded: 2204, Memory: 7981
(C8) Time: 3, Runtime: 9608, Length: 114.02133829043463, Nodes Expanded: 1201, Memory: 4343
(C9) Time: 6, Runtime: 15890, Length: 120.21625176280132, Nodes Expanded: 1996, Memory: 7110
(C10) Time: 0, Runtime: 1200, Length: 55.12373734152916, Nodes Expanded: 150, Memory: 984
(D1) Time: 6, Runtime: 14742, Length: 156.2152506094624, Nodes Expanded: 1857, Memory: 6737
(D2) Time: 2, Runtime: 7640, Length: 97.14024163602477, Nodes Expanded: 955, Memory: 3779
(D3) Time: 47, Runtime: 46029, Length: 155.85712472806142, Nodes Expanded: 5790, Memory: 18105
(D4) Time: 5, Runtime: 13720, Length: 113.08262979144992, Nodes Expanded: 1715, Memory: 6361
(D5) Time: 1, Runtime: 5280, Length: 79.31181451127843, Nodes Expanded: 660, Memory: 2792
(D6) Time: 20, Runtime: 29398, Length: 148.07248365649602, Nodes Expanded: 3683, Memory: 12614
(D7) Time: 1, Runtime: 5571, Length: 132.98060056445908, Nodes Expanded: 699, Memory: 3390
(D8) Time: 0, Runtime: 2475, Length: 70.18529034767612, Nodes Expanded: 315, Memory: 1585
(D9) Time: 21, Runtime: 30587, Length: 134.28174593052017, Nodes Expanded: 3847, Memory: 12166
(D10) Time: 18, Runtime: 27609, Length: 110.24253236814714, Nodes Expanded: 3453, Memory: 11279
(E1) Time: 1, Runtime: 3976, Length: 75.75483399593905, Nodes Expanded: 497, Memory: 2334
(E2) Time: 16, Runtime: 26615, Length: 123.91994039267915, Nodes Expanded: 3331, Memory: 10750
(E3) Time: 2, Runtime: 8080, Length: 98.25357133746819, Nodes Expanded: 1010, Memory: 4178
(E4) Time: 40, Runtime: 42903, Length: 151.7557268303061, Nodes Expanded: 5392, Memory: 17277
(E5) Time: 1, Runtime: 3744, Length: 59.69328098979219, Nodes Expanded: 468, Memory: 2181
(E6) Time: 1, Runtime: 3664, Length: 69.26219330881977, Nodes Expanded: 458, Memory: 2365
(E7) Time: 0, Runtime: 4941, Length: 82.38961030678924, Nodes Expanded: 630, Memory: 2881
(E8) Time: 2, Runtime: 9430, Length: 125.71372644585976, Nodes Expanded: 1181, Memory: 4355
(E9) Time: 1, Runtime: 3816, Length: 112.22755223725405, Nodes Expanded: 477, Memory: 2539
(E10) Time: 6, Runtime: 15529, Length: 161.703580310906, Nodes Expanded: 1946, Memory: 7103

(Average) Time: 7.5, Runtime: 13961.82, Length: 112.98029483439484, Nodes Expanded: 1752.2, Memory: 6212.88
