(A1) Time: 51, Runtime: 47395, Length: 55.86916485072176, Nodes Expanded: 5969, Memory: 18723
(A2) Time: 230, Runtime: 109111, Length: 123.6941738241593, Nodes Expanded: 13761, Memory: 41772
(A3) Time: 132, Runtime: 87243, Length: 85.16205806953522, Nodes Expanded: 10963, Memory: 34237
(A4) Time: 41, Runtime: 42892, Length: 49.84403858487466, Nodes Expanded: 5415, Memory: 16928
(A5) Time: 210, Runtime: 101194, Length: 123.32132931699712, Nodes Expanded: 12760, Memory: 38963
(A6) Time: 285, Runtime: 118271, Length: 118.12095051945586, Nodes Expanded: 14922, Memory: 45185
(A7) Time: 36, Runtime: 41091, Length: 50.61396103067892, Nodes Expanded: 5200, Memory: 16318
(A8) Time: 133, Runtime: 80288, Length: 79.84403858487472, Nodes Expanded: 10143, Memory: 31351
(A9) Time: 288, Runtime: 119730, Length: 115.10165940288701, Nodes Expanded: 15120, Memory: 45594
(A10) Time: 12, Runtime: 23114, Length: 44.67830085889911, Nodes Expanded: 2927, Memory: 9228
(B1) Time: 135, Runtime: 81546, Length: 69.03122292025695, Nodes Expanded: 10233, Memory: 31777
(B2) Time: 242, Runtime: 108676, Length: 123.77196961966997, Nodes Expanded: 13707, Memory: 41638
(B3) Time: 132, Runtime: 79979, Length: 128.42729970555988, Nodes Expanded: 10073, Memory: 30925
(B4) Time: 81, Runtime: 62168, Length: 66.38109665440994, Nodes Expanded: 7823, Memory: 24290
(B5) Time: 287, Runtime: 120173, Length: 171.950531983701, Nodes Expanded: 15177, Memory: 45751
(B6) Time: 98, Runtime: 68486, Length: 93.45610562784731, Nodes Expanded: 8627, Memory: 26556
(B7) Time: 190, Runtime: 97539, Length: 130.95826112068525, Nodes Expanded: 12298, Memory: 37428
(B8) Time: 116, Runtime: 75643, Length: 89.76066914521736, Nodes Expanded: 9504, Memory: 29499
(B9) Time: 289, Runtime: 120759, Length: 144.0234937832725, Nodes Expanded: 15254, Memory: 45996
(B10) Time: 189, Runtime: 96130, Length: 123.23706704297278, Nodes Expanded: 12111, Memory: 37012
(C1) Time: 285, Runtime: 118281, Length: 141.7104166135232, Nodes Expanded: 14934, Memory: 45205
(C2) Time: 156, Runtime: 87900, Length: 84.74353352148636, Nodes Expanded: 11103, Memory: 33922
(C3) Time: 229, Runtime: 106101, Length: 124.02996026178617, Nodes Expanded: 13401, Memory: 40833
(C4) Time: 212, Runtime: 102315, Length: 136.97665940288698, Nodes Expanded: 12923, Memory: 39346
(C5) Time: 133, Runtime: 80571, Length: 102.78059159102153, Nodes Expanded: 10181, Memory: 31179
(C6) Time: 161, Runtime: 88413, Length: 115.8198051533946, Nodes Expanded: 11175, Memory: 34091
(C7) Time: 174, Runtime: 91735, Length: 115.1445526217005, Nodes Expanded: 11596, Memory: 35417
(C8) Time: 112, Runtime: 73135, Length: 105.1889700041164, Nodes Expanded: 9222, Memory: 28369
(C9) Time: 245, Runtime: 110406, Length: 118.56828098979214, Nodes Expanded: 13947, Memory: 42334
(C10) Time: 16, Runtime: 26984, Length: 51.2404851942814, Nodes Expanded: 3416, Memory: 10758
(D1) Time: 204, Runtime: 100179, Length: 143.21041661352308, Nodes Expanded: 12629, Memory: 38751
(D2) Time: 127, Runtime: 79586, Length: 85.90927124746194, Nodes Expanded: 10031, Memory: 30799
(D3) Time: 250, Runtime: 111479, Length: 115.25977631085023, Nodes Expanded: 14080, Memory: 42861
(D4) Time: 154, Runtime: 87575, Length: 94.55266952966369, Nodes Expanded: 11043, Memory: 33807
(D5) Time: 80, Runtime: 62485, Length: 67.83820343559641, Nodes Expanded: 7888, Memory: 24230
(D6) Time: 277, Runtime: 117974, Length: 134.97665940288698, Nodes Expanded: 14902, Memory: 45081
(D7) Time: 255, Runtime: 113735, Length: 121.03427124746189, Nodes Expanded: 14352, Memory: 43730
(D8) Time: 17, Runtime: 27604, Length: 63.70064030267288, Nodes Expanded: 3508, Memory: 11031
(D9) Time: 287, Runtime: 120763, Length: 132.89481412683205, Nodes Expanded: 15266, Memory: 46016
(D10) Time: 85, Runtime: 64850, Length: 86.46257210636101, Nodes Expanded: 8187, Memory: 25080
(E1) Time: 63, Runtime: 55646, Length: 52.52969875665451, Nodes Expanded: 7010, Memory: 21804
(E2) Time: 230, Runtime: 107433, Length: 118.35229073212244, Nodes Expanded: 13547, Memory: 41210
(E3) Time: 172, Runtime: 92662, Length: 73.66510639674013, Nodes Expanded: 11667, Memory: 35784
(E4) Time: 262, Runtime: 114892, Length: 146.61054287937017, Nodes Expanded: 14513, Memory: 43899
(E5) Time: 59, Runtime: 53547, Length: 55.15317459305202, Nodes Expanded: 6739, Memory: 21036
(E6) Time: 94, Runtime: 68027, Length: 62.77233944377375, Nodes Expanded: 8573, Memory: 26503
(E7) Time: 56, Runtime: 51733, Length: 62.147339443773824, Nodes Expanded: 6522, Memory: 20352
(E8) Time: 113, Runtime: 75084, Length: 107.6794551983978, Nodes Expanded: 9444, Memory: 29227
(E9) Time: 140, Runtime: 83282, Length: 92.12221317792674, Nodes Expanded: 10478, Memory: 32267
(E10) Time: 245, Runtime: 111150, Length: 132.87463017589627, Nodes Expanded: 14023, Memory: 42609

(Average) Time: 161.4, Runtime: 85339.1, Length: 100.66393466243366, Nodes Expanded: 10765.74, Memory: 32934.04
