(A1) Time: 8, Runtime: 2880, Length: 87.39328996322966, Nodes Expanded: 360, Memory: 2094
(A2) Time: 7, Runtime: 10840, Length: 133.30597936200027, Nodes Expanded: 1355, Memory: 5293
(A3) Time: 1, Runtime: 3480, Length: 110.47692090801877, Nodes Expanded: 435, Memory: 2548
(A4) Time: 1, Runtime: 3640, Length: 65.2444263558534, Nodes Expanded: 455, Memory: 2129
(A5) Time: 3, Runtime: 7848, Length: 140.06144468717514, Nodes Expanded: 981, Memory: 4061
(A6) Time: 4, Runtime: 8966, Length: 153.97870657675273, Nodes Expanded: 1123, Memory: 4139
(A7) Time: 1, Runtime: 888, Length: 84.21194077712565, Nodes Expanded: 111, Memory: 913
(A8) Time: 5, Runtime: 6704, Length: 103.77780476894834, Nodes Expanded: 838, Memory: 3687
(A9) Time: 3, Runtime: 8112, Length: 125.28758107979844, Nodes Expanded: 1014, Memory: 3750
(A10) Time: 0, Runtime: 856, Length: 49.38998013089309, Nodes Expanded: 107, Memory: 867
(B1) Time: 0, Runtime: 2208, Length: 117.74190103891182, Nodes Expanded: 276, Memory: 1612
(B2) Time: 0, Runtime: 2064, Length: 144.3901333170527, Nodes Expanded: 258, Memory: 1704
(B3) Time: 5, Runtime: 14080, Length: 142.1092802208993, Nodes Expanded: 1760, Memory: 5961
(B4) Time: 2, Runtime: 6280, Length: 108.29215357060586, Nodes Expanded: 785, Memory: 3035
(B5) Time: 6, Runtime: 14434, Length: 190.89228880989066, Nodes Expanded: 1808, Memory: 6657
(B6) Time: 0, Runtime: 3112, Length: 102.40585309615317, Nodes Expanded: 389, Memory: 1712
(B7) Time: 3, Runtime: 10432, Length: 162.66867773420853, Nodes Expanded: 1304, Memory: 5011
(B8) Time: 7, Runtime: 17384, Length: 122.45610562784735, Nodes Expanded: 2173, Memory: 7145
(B9) Time: 2, Runtime: 7774, Length: 166.08441546018398, Nodes Expanded: 974, Memory: 4245
(B10) Time: 3, Runtime: 10205, Length: 144.14723112480198, Nodes Expanded: 1279, Memory: 5171
(C1) Time: 2, Runtime: 7568, Length: 161.42514421272205, Nodes Expanded: 946, Memory: 3667
(C2) Time: 1, Runtime: 4640, Length: 110.0997654151809, Nodes Expanded: 580, Memory: 2911
(C3) Time: 5, Runtime: 14704, Length: 187.58935777509527, Nodes Expanded: 1838, Memory: 6664
(C4) Time: 0, Runtime: 1752, Length: 139.59797974644658, Nodes Expanded: 219, Memory: 1278
(C5) Time: 1, Runtime: 3232, Length: 118.93250352560288, Nodes Expanded: 404, Memory: 2264
(C6) Time: 1, Runtime: 5520, Length: 118.81397000411634, Nodes Expanded: 690, Memory: 2736
(C7) Time: 6, Runtime: 16482, Length: 166.6760370470894, Nodes Expanded: 2061, Memory: 7603
(C8) Time: 1, Runtime: 3920, Length: 116.5302217669178, Nodes Expanded: 490, Memory: 2240
(C9) Time: 5, Runtime: 12888, Length: 120.82868862987777, Nodes Expanded: 1611, Memory: 6081
(C10) Time: 0, Runtime: 1000, Length: 57.99658184869125, Nodes Expanded: 125, Memory: 913
(D1) Time: 3, Runtime: 9329, Length: 182.5586578651018, Nodes Expanded: 1177, Memory: 4644
(D2) Time: 1, Runtime: 5704, Length: 115.17083322704634, Nodes Expanded: 713, Memory: 3059
(D3) Time: 1, Runtime: 3880, Length: 158.3601730552664, Nodes Expanded: 485, Memory: 2262
(D4) Time: 7, Runtime: 17752, Length: 166.96614344382925, Nodes Expanded: 2219, Memory: 7612
(D5) Time: 1, Runtime: 3968, Length: 112.96588193869762, Nodes Expanded: 496, Memory: 2174
(D6) Time: 2, Runtime: 7230, Length: 177.53657992645955, Nodes Expanded: 909, Memory: 3688
(D7) Time: 1, Runtime: 3793, Length: 167.39076464628806, Nodes Expanded: 476, Memory: 2711
(D8) Time: 0, Runtime: 1792, Length: 76.79925137835498, Nodes Expanded: 227, Memory: 1326
(D9) Time: 3, Runtime: 9689, Length: 138.58935777509512, Nodes Expanded: 1213, Memory: 4398
(D10) Time: 1, Runtime: 3200, Length: 110.94138700208597, Nodes Expanded: 400, Memory: 1855
(E1) Time: 1, Runtime: 2544, Length: 97.90432893255071, Nodes Expanded: 318, Memory: 1872
(E2) Time: 1, Runtime: 6896, Length: 126.25141584463027, Nodes Expanded: 862, Memory: 3451
(E3) Time: 1, Runtime: 3104, Length: 131.73212472806156, Nodes Expanded: 388, Memory: 1974
(E4) Time: 50, Runtime: 47849, Length: 182.08746378738886, Nodes Expanded: 6010, Memory: 19273
(E5) Time: 1, Runtime: 1560, Length: 75.3486110756821, Nodes Expanded: 195, Memory: 1290
(E6) Time: 1, Runtime: 2848, Length: 97.79404755831226, Nodes Expanded: 356, Memory: 2018
(E7) Time: 1, Runtime: 6841, Length: 163.33199846221447, Nodes Expanded: 878, Memory: 3232
(E8) Time: 1, Runtime: 5872, Length: 148.1665222413705, Nodes Expanded: 734, Memory: 2871
(E9) Time: 1, Runtime: 2536, Length: 124.4799692352236, Nodes Expanded: 317, Memory: 1951
(E10) Time: 1, Runtime: 6392, Length: 184.69038584874704, Nodes Expanded: 799, Memory: 3507

(Average) Time: 3.24, Runtime: 7333.44, Length: 129.83744525108995, Nodes Expanded: 918.42, Memory: 3665.18
