(A1) Time: 5, Runtime: 3280, Length: 93.07742597140697, Nodes Expanded: 410, Memory: 2205
(A2) Time: 6, Runtime: 10216, Length: 145.66499807776808, Nodes Expanded: 1277, Memory: 5210
(A3) Time: 2, Runtime: 4184, Length: 142.29672606141355, Nodes Expanded: 523, Memory: 2873
(A4) Time: 1, Runtime: 2888, Length: 93.3363094478902, Nodes Expanded: 361, Memory: 1808
(A5) Time: 11, Runtime: 18414, Length: 140.3010370470895, Nodes Expanded: 2310, Memory: 8054
(A6) Time: 7, Runtime: 12776, Length: 148.33378413094843, Nodes Expanded: 1600, Memory: 5683
(A7) Time: 3, Runtime: 5056, Length: 99.22692090801861, Nodes Expanded: 632, Memory: 2601
(A8) Time: 1, Runtime: 4928, Length: 142.04215357060593, Nodes Expanded: 616, Memory: 3105
(A9) Time: 3, Runtime: 10536, Length: 132.3038238691624, Nodes Expanded: 1317, Memory: 4763
(A10) Time: 1, Runtime: 2056, Length: 54.437445840513924, Nodes Expanded: 257, Memory: 1481
(B1) Time: 1, Runtime: 2416, Length: 124.66284258493025, Nodes Expanded: 302, Memory: 1820
(B2) Time: 1, Runtime: 2472, Length: 143.86195872400066, Nodes Expanded: 309, Memory: 1955
(B3) Time: 4, Runtime: 11968, Length: 139.55319253992693, Nodes Expanded: 1496, Memory: 5240
(B4) Time: 0, Runtime: 2696, Length: 117.01487181192088, Nodes Expanded: 337, Memory: 1621
(B5) Time: 10, Runtime: 21480, Length: 200.771861300698, Nodes Expanded: 2685, Memory: 9323
(B6) Time: 2, Runtime: 4848, Length: 99.78085309615314, Nodes Expanded: 606, Memory: 2365
(B7) Time: 3, Runtime: 10264, Length: 153.4533188057741, Nodes Expanded: 1283, Memory: 4700
(B8) Time: 10, Runtime: 19540, Length: 125.51676579962717, Nodes Expanded: 2450, Memory: 7892
(B9) Time: 1, Runtime: 4864, Length: 182.57058966878978, Nodes Expanded: 608, Memory: 2982
(B10) Time: 5, Runtime: 12968, Length: 192.90395910844705, Nodes Expanded: 1621, Memory: 5886
(C1) Time: 7, Runtime: 16401, Length: 164.90459043768232, Nodes Expanded: 2055, Memory: 7064
(C2) Time: 1, Runtime: 6392, Length: 137.40827009412277, Nodes Expanded: 799, Memory: 3579
(C3) Time: 12, Runtime: 22532, Length: 196.52007563196392, Nodes Expanded: 2830, Memory: 9414
(C4) Time: 3, Runtime: 12439, Length: 142.60102807365152, Nodes Expanded: 1577, Memory: 5214
(C5) Time: 3, Runtime: 8880, Length: 132.90091078124215, Nodes Expanded: 1131, Memory: 4704
(C6) Time: 1, Runtime: 3912, Length: 125.42514421272195, Nodes Expanded: 489, Memory: 2142
(C7) Time: 8, Runtime: 20712, Length: 144.5185514683615, Nodes Expanded: 2589, Memory: 9253
(C8) Time: 1, Runtime: 4360, Length: 133.55776503073437, Nodes Expanded: 545, Memory: 2451
(C9) Time: 12, Runtime: 27072, Length: 130.65890142335797, Nodes Expanded: 3384, Memory: 11527
(C10) Time: 0, Runtime: 1736, Length: 66.77996026178609, Nodes Expanded: 217, Memory: 1264
(D1) Time: 2, Runtime: 7990, Length: 184.74584220048422, Nodes Expanded: 1007, Memory: 4216
(D2) Time: 1, Runtime: 3504, Length: 114.9104255869607, Nodes Expanded: 438, Memory: 2189
(D3) Time: 7, Runtime: 19164, Length: 167.40001794687504, Nodes Expanded: 2427, Memory: 7908
(D4) Time: 1, Runtime: 3056, Length: 138.40916292849002, Nodes Expanded: 382, Memory: 2081
(D5) Time: 1, Runtime: 2584, Length: 119.22933790598819, Nodes Expanded: 323, Memory: 1586
(D6) Time: 1, Runtime: 4715, Length: 188.43087104302845, Nodes Expanded: 595, Memory: 2882
(D7) Time: 1, Runtime: 4458, Length: 173.22439559107727, Nodes Expanded: 558, Memory: 3011
(D8) Time: 2, Runtime: 6349, Length: 83.28516408182892, Nodes Expanded: 797, Memory: 3139
(D9) Time: 7, Runtime: 19256, Length: 145.32311498573117, Nodes Expanded: 2434, Memory: 7786
(D10) Time: 2, Runtime: 9331, Length: 110.39544545606758, Nodes Expanded: 1169, Memory: 4148
(E1) Time: 2, Runtime: 8672, Length: 86.74074669941305, Nodes Expanded: 1084, Memory: 4291
(E2) Time: 4, Runtime: 13347, Length: 130.17451288348656, Nodes Expanded: 1671, Memory: 5668
(E3) Time: 1, Runtime: 5224, Length: 92.77133829043463, Nodes Expanded: 653, Memory: 3173
(E4) Time: 21, Runtime: 30925, Length: 171.843298936667, Nodes Expanded: 3872, Memory: 12530
(E5) Time: 0, Runtime: 1072, Length: 58.060028842544405, Nodes Expanded: 134, Memory: 1025
(E6) Time: 2, Runtime: 8453, Length: 86.75267850310114, Nodes Expanded: 1057, Memory: 4510
(E7) Time: 4, Runtime: 11975, Length: 97.23795987733962, Nodes Expanded: 1522, Memory: 5730
(E8) Time: 1, Runtime: 2536, Length: 150.12883284259982, Nodes Expanded: 317, Memory: 1610
(E9) Time: 1, Runtime: 2528, Length: 119.40306627407989, Nodes Expanded: 316, Memory: 1984
(E10) Time: 0, Runtime: 4119, Length: 206.7289680818847, Nodes Expanded: 525, Memory: 2468

(Average) Time: 3.72, Runtime: 9230.88, Length: 133.43162489477584, Nodes Expanded: 1157.94, Memory: 4402.28
