(A1) Time: 4, Runtime: 1648, Length: 230.32453083036137, Nodes Expanded: 206, Memory: 1263
(A2) Time: 1, Runtime: 1400, Length: 258.4274528917193, Nodes Expanded: 175, Memory: 1328
(A3) Time: 1, Runtime: 1024, Length: 237.93444238049625, Nodes Expanded: 128, Memory: 1151
(A4) Time: 0, Runtime: 704, Length: 154.87972567696693, Nodes Expanded: 88, Memory: 766
(A5) Time: 0, Runtime: 1528, Length: 257.22134726387196, Nodes Expanded: 191, Memory: 1354
(A6) Time: 1, Runtime: 1712, Length: 234.02186130069774, Nodes Expanded: 214, Memory: 1317
(A7) Time: 1, Runtime: 1160, Length: 161.75661966467334, Nodes Expanded: 145, Memory: 990
(A8) Time: 0, Runtime: 976, Length: 230.00461735799482, Nodes Expanded: 122, Memory: 1108
(A9) Time: 3, Runtime: 1120, Length: 183.52312395916863, Nodes Expanded: 140, Memory: 968
(A10) Time: 1, Runtime: 1232, Length: 181.11017305526644, Nodes Expanded: 154, Memory: 990
(B1) Time: 0, Runtime: 984, Length: 212.24915203282015, Nodes Expanded: 123, Memory: 1056
(B2) Time: 1, Runtime: 1240, Length: 254.94458851545028, Nodes Expanded: 155, Memory: 1283
(B3) Time: 1, Runtime: 1392, Length: 187.18733752154176, Nodes Expanded: 174, Memory: 1157
(B4) Time: 1, Runtime: 688, Length: 148.08683245815337, Nodes Expanded: 86, Memory: 792
(B5) Time: 1, Runtime: 1744, Length: 277.80702538252683, Nodes Expanded: 218, Memory: 1480
(B6) Time: 0, Runtime: 792, Length: 130.56943532929085, Nodes Expanded: 99, Memory: 796
(B7) Time: 1, Runtime: 1752, Length: 198.2611921554805, Nodes Expanded: 219, Memory: 1437
(B8) Time: 1, Runtime: 2104, Length: 168.8068721963673, Nodes Expanded: 263, Memory: 1254
(B9) Time: 1, Runtime: 1144, Length: 260.00183053592133, Nodes Expanded: 143, Memory: 1280
(B10) Time: 1, Runtime: 1840, Length: 271.3327829776091, Nodes Expanded: 230, Memory: 1525
(C1) Time: 1, Runtime: 3688, Length: 256.1039680818843, Nodes Expanded: 461, Memory: 2183
(C2) Time: 0, Runtime: 1768, Length: 269.4718702741352, Nodes Expanded: 221, Memory: 1422
(C3) Time: 1, Runtime: 1552, Length: 280.42986988968886, Nodes Expanded: 194, Memory: 1366
(C4) Time: 0, Runtime: 1160, Length: 167.9147365726363, Nodes Expanded: 145, Memory: 1037
(C5) Time: 1, Runtime: 1089, Length: 231.24978336205564, Nodes Expanded: 153, Memory: 1105
(C6) Time: 0, Runtime: 720, Length: 156.39444430272832, Nodes Expanded: 90, Memory: 761
(C7) Time: 1, Runtime: 1512, Length: 264.93849186104046, Nodes Expanded: 189, Memory: 1324
(C8) Time: 1, Runtime: 800, Length: 162.276803615609, Nodes Expanded: 100, Memory: 865
(C9) Time: 1, Runtime: 1016, Length: 206.67440456451436, Nodes Expanded: 127, Memory: 1042
(C10) Time: 0, Runtime: 1712, Length: 174.0605518528076, Nodes Expanded: 214, Memory: 1117
(D1) Time: 0, Runtime: 1168, Length: 270.56185937846567, Nodes Expanded: 146, Memory: 1250
(D2) Time: 1, Runtime: 1088, Length: 185.75624984056932, Nodes Expanded: 136, Memory: 1010
(D3) Time: 0, Runtime: 1200, Length: 188.79089091213535, Nodes Expanded: 150, Memory: 1166
(D4) Time: 1, Runtime: 1328, Length: 232.32058966878935, Nodes Expanded: 166, Memory: 1230
(D5) Time: 0, Runtime: 688, Length: 152.24368670764585, Nodes Expanded: 86, Memory: 814
(D6) Time: 1, Runtime: 1376, Length: 271.49079156660025, Nodes Expanded: 172, Memory: 1362
(D7) Time: 1, Runtime: 1290, Length: 305.7150339715177, Nodes Expanded: 180, Memory: 1366
(D8) Time: 0, Runtime: 904, Length: 141.10039674441623, Nodes Expanded: 113, Memory: 825
(D9) Time: 1, Runtime: 1040, Length: 159.4490078200982, Nodes Expanded: 130, Memory: 985
(D10) Time: 0, Runtime: 1440, Length: 172.41410524340085, Nodes Expanded: 180, Memory: 1042
(E1) Time: 0, Runtime: 1128, Length: 185.01397897755393, Nodes Expanded: 141, Memory: 1073
(E2) Time: 0, Runtime: 1376, Length: 198.17819253992695, Nodes Expanded: 172, Memory: 1060
(E3) Time: 1, Runtime: 1216, Length: 199.2891052434009, Nodes Expanded: 152, Memory: 1187
(E4) Time: 1, Runtime: 2656, Length: 265.76082233137663, Nodes Expanded: 332, Memory: 1777
(E5) Time: 1, Runtime: 1072, Length: 58.060028842544405, Nodes Expanded: 134, Memory: 1025
(E6) Time: 1, Runtime: 1392, Length: 210.1040764008565, Nodes Expanded: 174, Memory: 1257
(E7) Time: 0, Runtime: 1112, Length: 181.40306627407998, Nodes Expanded: 139, Memory: 1075
(E8) Time: 0, Runtime: 776, Length: 160.28442443362152, Nodes Expanded: 97, Memory: 883
(E9) Time: 0, Runtime: 1112, Length: 173.75104602052653, Nodes Expanded: 139, Memory: 1201
(E10) Time: 0, Runtime: 1312, Length: 261.2567728508328, Nodes Expanded: 164, Memory: 1393

(Average) Time: 0.7, Runtime: 1317.5, Length: 207.6181998726367, Nodes Expanded: 165.4, Memory: 1169.96
