(A1) Time: 9, Runtime: 4336, Length: 67.24074669941302, Nodes Expanded: 542, Memory: 2589
(A2) Time: 140, Runtime: 89093, Length: 141.38466799187813, Nodes Expanded: 11209, Memory: 34455
(A3) Time: 4, Runtime: 13211, Length: 110.22260992234308, Nodes Expanded: 1657, Memory: 6011
(A4) Time: 2, Runtime: 6064, Length: 64.49011537017766, Nodes Expanded: 758, Memory: 3041
(A5) Time: 29, Runtime: 39567, Length: 133.56575567285083, Nodes Expanded: 4974, Memory: 15921
(A6) Time: 43, Runtime: 47333, Length: 126.39786245403711, Nodes Expanded: 5947, Memory: 18629
(A7) Time: 1, Runtime: 4397, Length: 58.59797974644668, Nodes Expanded: 556, Memory: 2301
(A8) Time: 1, Runtime: 6784, Length: 98.50572683030617, Nodes Expanded: 848, Memory: 3773
(A9) Time: 72, Runtime: 59133, Length: 120.77412511250792, Nodes Expanded: 7413, Memory: 23339
(A10) Time: 0, Runtime: 2021, Length: 52.29835854398794, Nodes Expanded: 253, Memory: 1336
(B1) Time: 2, Runtime: 8848, Length: 84.15585309615321, Nodes Expanded: 1106, Memory: 4223
(B2) Time: 68, Runtime: 57471, Length: 134.95573580374366, Nodes Expanded: 7218, Memory: 22794
(B3) Time: 42, Runtime: 43136, Length: 132.46525060946215, Nodes Expanded: 5434, Memory: 16877
(B4) Time: 6, Runtime: 16672, Length: 78.42577554195745, Nodes Expanded: 2084, Memory: 7494
(B5) Time: 186, Runtime: 96133, Length: 177.41221125569507, Nodes Expanded: 12080, Memory: 37310
(B6) Time: 25, Runtime: 34324, Length: 96.28758107979843, Nodes Expanded: 4310, Memory: 13564
(B7) Time: 39, Runtime: 43476, Length: 142.61690103891195, Nodes Expanded: 5481, Memory: 17286
(B8) Time: 28, Runtime: 36268, Length: 96.5330085889911, Nodes Expanded: 4563, Memory: 14617
(B9) Time: 163, Runtime: 90373, Length: 154.97350275671008, Nodes Expanded: 11369, Memory: 34997
(B10) Time: 7, Runtime: 17004, Length: 141.01334764831884, Nodes Expanded: 2142, Memory: 7628
(C1) Time: 133, Runtime: 81713, Length: 155.23123189369443, Nodes Expanded: 10283, Memory: 32174
(C2) Time: 15, Runtime: 25898, Length: 100.41258107979864, Nodes Expanded: 3241, Memory: 10803
(C3) Time: 69, Runtime: 54662, Length: 138.26855146836155, Nodes Expanded: 6874, Memory: 22006
(C4) Time: 29, Runtime: 37588, Length: 137.49442635585336, Nodes Expanded: 4752, Memory: 14737
(C5) Time: 19, Runtime: 29555, Length: 116.95699846221456, Nodes Expanded: 3712, Memory: 12127
(C6) Time: 33, Runtime: 40090, Length: 120.6794551983977, Nodes Expanded: 5061, Memory: 15914
(C7) Time: 27, Runtime: 35924, Length: 129.53631842132788, Nodes Expanded: 4513, Memory: 14682
(C8) Time: 23, Runtime: 32839, Length: 111.78605691619605, Nodes Expanded: 4127, Memory: 13058
(C9) Time: 84, Runtime: 64755, Length: 125.53300858899097, Nodes Expanded: 8177, Memory: 25184
(C10) Time: 2, Runtime: 7880, Length: 59.62830983233655, Nodes Expanded: 985, Memory: 3496
(D1) Time: 40, Runtime: 43723, Length: 159.35738623319352, Nodes Expanded: 5526, Memory: 17915
(D2) Time: 4, Runtime: 12120, Length: 96.94659082212895, Nodes Expanded: 1515, Memory: 5492
(D3) Time: 117, Runtime: 76343, Length: 137.52375528840443, Nodes Expanded: 9611, Memory: 30208
(D4) Time: 33, Runtime: 40088, Length: 111.76029932111368, Nodes Expanded: 5011, Memory: 16095
(D5) Time: 16, Runtime: 27108, Length: 77.51156197958429, Nodes Expanded: 3396, Memory: 11114
(D6) Time: 142, Runtime: 84573, Length: 154.05192988145652, Nodes Expanded: 10660, Memory: 32802
(D7) Time: 37, Runtime: 42209, Length: 140.95358031090586, Nodes Expanded: 5333, Memory: 17376
(D8) Time: 2, Runtime: 7183, Length: 69.80140687119292, Nodes Expanded: 914, Memory: 3343
(D9) Time: 66, Runtime: 57236, Length: 133.55902768920515, Nodes Expanded: 7220, Memory: 22381
(D10) Time: 28, Runtime: 37083, Length: 94.40585309615327, Nodes Expanded: 4650, Memory: 14670
(E1) Time: 0, Runtime: 3712, Length: 63.03148442538863, Nodes Expanded: 464, Memory: 2311
(E2) Time: 55, Runtime: 52040, Length: 125.34824125157824, Nodes Expanded: 6554, Memory: 20386
(E3) Time: 5, Runtime: 12560, Length: 86.90217343971284, Nodes Expanded: 1570, Memory: 6056
(E4) Time: 116, Runtime: 75322, Length: 163.60954172603115, Nodes Expanded: 9483, Memory: 29221
(E5) Time: 0, Runtime: 1808, Length: 57.97576656851998, Nodes Expanded: 226, Memory: 1377
(E6) Time: 3, Runtime: 9406, Length: 77.12184335382288, Nodes Expanded: 1178, Memory: 4475
(E7) Time: 2, Runtime: 6446, Length: 76.22387258081375, Nodes Expanded: 817, Memory: 3408
(E8) Time: 6, Runtime: 15140, Length: 114.49773618819012, Nodes Expanded: 1903, Memory: 6722
(E9) Time: 12, Runtime: 22997, Length: 105.01613447039183, Nodes Expanded: 2878, Memory: 9903
(E10) Time: 23, Runtime: 33334, Length: 146.60738623319352, Nodes Expanded: 4184, Memory: 14054

(Average) Time: 40.16, Runtime: 35739.58, Length: 112.00099251423686, Nodes Expanded: 4495.24, Memory: 14433.5
