(A1) Time: 6, Runtime: 2200, Length: 77.70090180780447, Nodes Expanded: 275, Memory: 1881
(A2) Time: 7, Runtime: 11000, Length: 145.16347391416554, Nodes Expanded: 1375, Memory: 5521
(A3) Time: 1, Runtime: 2832, Length: 129.0770561473034, Nodes Expanded: 354, Memory: 2501
(A4) Time: 1, Runtime: 2400, Length: 76.23795987733972, Nodes Expanded: 300, Memory: 1775
(A5) Time: 10, Runtime: 17105, Length: 140.42603704708944, Nodes Expanded: 2146, Memory: 7627
(A6) Time: 6, Runtime: 11288, Length: 141.501677349762, Nodes Expanded: 1414, Memory: 5465
(A7) Time: 3, Runtime: 4440, Length: 87.91258107979843, Nodes Expanded: 555, Memory: 2407
(A8) Time: 3, Runtime: 4104, Length: 130.38619215548061, Nodes Expanded: 513, Memory: 2910
(A9) Time: 4, Runtime: 11512, Length: 131.94963914933373, Nodes Expanded: 1439, Memory: 5096
(A10) Time: 1, Runtime: 1632, Length: 55.29099923110719, Nodes Expanded: 204, Memory: 1386
(B1) Time: 1, Runtime: 2048, Length: 132.6799782086612, Nodes Expanded: 256, Memory: 1630
(B2) Time: 1, Runtime: 1896, Length: 147.08988078535856, Nodes Expanded: 237, Memory: 1681
(B3) Time: 10, Runtime: 20799, Length: 146.0519298814561, Nodes Expanded: 2601, Memory: 8491
(B4) Time: 0, Runtime: 3024, Length: 115.64723112480162, Nodes Expanded: 378, Memory: 1849
(B5) Time: 13, Runtime: 23143, Length: 188.58252147247808, Nodes Expanded: 2894, Memory: 10267
(B6) Time: 2, Runtime: 6112, Length: 104.50509550107066, Nodes Expanded: 764, Memory: 2814
(B7) Time: 3, Runtime: 10965, Length: 156.54367773420847, Nodes Expanded: 1371, Memory: 4998
(B8) Time: 9, Runtime: 19593, Length: 125.09734841721124, Nodes Expanded: 2457, Memory: 7969
(B9) Time: 2, Runtime: 8168, Length: 195.53353159925442, Nodes Expanded: 1021, Memory: 4376
(B10) Time: 5, Runtime: 14256, Length: 201.09203627819647, Nodes Expanded: 1782, Memory: 6451
(C1) Time: 12, Runtime: 23846, Length: 172.37730867899737, Nodes Expanded: 3001, Memory: 9725
(C2) Time: 2, Runtime: 8216, Length: 103.94443532929103, Nodes Expanded: 1027, Memory: 4754
(C3) Time: 20, Runtime: 35203, Length: 210.78657992645947, Nodes Expanded: 4442, Memory: 14093
(C4) Time: 6, Runtime: 16884, Length: 152.43555185280766, Nodes Expanded: 2148, Memory: 6907
(C5) Time: 1, Runtime: 5717, Length: 133.70205614730344, Nodes Expanded: 724, Memory: 3468
(C6) Time: 1, Runtime: 4016, Length: 126.28605691619592, Nodes Expanded: 502, Memory: 2235
(C7) Time: 11, Runtime: 22373, Length: 136.80624086713212, Nodes Expanded: 2803, Memory: 10063
(C8) Time: 1, Runtime: 4200, Length: 136.86106588963355, Nodes Expanded: 525, Memory: 2342
(C9) Time: 15, Runtime: 30125, Length: 135.14418279759656, Nodes Expanded: 3766, Memory: 12807
(C10) Time: 1, Runtime: 1952, Length: 67.24963017589619, Nodes Expanded: 244, Memory: 1409
(D1) Time: 2, Runtime: 7329, Length: 177.6327740041723, Nodes Expanded: 924, Memory: 4063
(D2) Time: 1, Runtime: 4408, Length: 107.73149339882625, Nodes Expanded: 551, Memory: 2788
(D3) Time: 9, Runtime: 21882, Length: 171.72718241315044, Nodes Expanded: 2772, Memory: 8896
(D4) Time: 0, Runtime: 1904, Length: 137.68733752154208, Nodes Expanded: 238, Memory: 1643
(D5) Time: 1, Runtime: 3208, Length: 106.3209594928934, Nodes Expanded: 401, Memory: 2005
(D6) Time: 2, Runtime: 5941, Length: 183.19495833955426, Nodes Expanded: 749, Memory: 3392
(D7) Time: 1, Runtime: 5091, Length: 167.40574477718133, Nodes Expanded: 642, Memory: 3413
(D8) Time: 1, Runtime: 5518, Length: 99.73275605729683, Nodes Expanded: 695, Memory: 2773
(D9) Time: 7, Runtime: 17742, Length: 146.32311498573117, Nodes Expanded: 2244, Memory: 7259
(D10) Time: 4, Runtime: 11703, Length: 116.07006665852633, Nodes Expanded: 1467, Memory: 5008
(E1) Time: 2, Runtime: 7768, Length: 70.74379502661802, Nodes Expanded: 971, Memory: 4112
(E2) Time: 7, Runtime: 16571, Length: 133.89570696119915, Nodes Expanded: 2077, Memory: 6900
(E3) Time: 1, Runtime: 4056, Length: 98.11232854810434, Nodes Expanded: 507, Memory: 2741
(E4) Time: 25, Runtime: 33044, Length: 175.74558069535195, Nodes Expanded: 4141, Memory: 13370
(E5) Time: 0, Runtime: 1072, Length: 57.97576656851998, Nodes Expanded: 134, Memory: 1065
(E6) Time: 2, Runtime: 7624, Length: 86.89328996322966, Nodes Expanded: 953, Memory: 4434
(E7) Time: 3, Runtime: 9117, Length: 95.89113447039165, Nodes Expanded: 1164, Memory: 4615
(E8) Time: 0, Runtime: 3128, Length: 152.6695705685754, Nodes Expanded: 391, Memory: 1844
(E9) Time: 0, Runtime: 2032, Length: 117.13161966467318, Nodes Expanded: 254, Memory: 1826
(E10) Time: 1, Runtime: 4650, Length: 194.02338546430067, Nodes Expanded: 591, Memory: 2887

(Average) Time: 4.54, Runtime: 10096.74, Length: 132.01942845846065, Nodes Expanded: 1267.68, Memory: 4798.64
