(A1) Time: 19, Runtime: 5320, Length: 189.13, Nodes Expanded: 976, Memory: 4367
(A2) Time: 4, Runtime: 5455, Length: 254.36, Nodes Expanded: 1090, Memory: 4563
(A3) Time: 2, Runtime: 4664, Length: 251.48, Nodes Expanded: 926, Memory: 4244
(A4) Time: 2, Runtime: 2752, Length: 154.67, Nodes Expanded: 518, Memory: 2432
(A5) Time: 3, Runtime: 5736, Length: 252.77, Nodes Expanded: 1034, Memory: 4380
(A6) Time: 3, Runtime: 5152, Length: 183.19, Nodes Expanded: 980, Memory: 4155
(A7) Time: 4, Runtime: 3327, Length: 106.81, Nodes Expanded: 660, Memory: 3082
(A8) Time: 2, Runtime: 4272, Length: 230.0, Nodes Expanded: 810, Memory: 3888
(A9) Time: 2, Runtime: 3776, Length: 182.52, Nodes Expanded: 730, Memory: 3274
(A10) Time: 2, Runtime: 3360, Length: 44.91, Nodes Expanded: 625, Memory: 2904
(B1) Time: 3, Runtime: 3224, Length: 166.33, Nodes Expanded: 636, Memory: 3263
(B2) Time: 3, Runtime: 4592, Length: 210.27, Nodes Expanded: 920, Memory: 4542
(B3) Time: 3, Runtime: 4552, Length: 169.39, Nodes Expanded: 880, Memory: 3614
(B4) Time: 2, Runtime: 2672, Length: 148.09, Nodes Expanded: 518, Memory: 2660
(B5) Time: 2, Runtime: 6136, Length: 254.84, Nodes Expanded: 1172, Memory: 4667
(B6) Time: 2, Runtime: 2976, Length: 117.22, Nodes Expanded: 584, Memory: 2680
(B7) Time: 2, Runtime: 3392, Length: 196.63, Nodes Expanded: 620, Memory: 2605
(B8) Time: 1, Runtime: 3448, Length: 153.07, Nodes Expanded: 636, Memory: 2501
(B9) Time: 3, Runtime: 4744, Length: 259.76, Nodes Expanded: 954, Memory: 4601
(B10) Time: 2, Runtime: 5704, Length: 265.81, Nodes Expanded: 1030, Memory: 4284
(C1) Time: 4, Runtime: 6296, Length: 203.42, Nodes Expanded: 1173, Memory: 4542
(C2) Time: 3, Runtime: 5728, Length: 268.12, Nodes Expanded: 1078, Memory: 4831
(C3) Time: 3, Runtime: 6640, Length: 274.94, Nodes Expanded: 1190, Memory: 4710
(C4) Time: 2, Runtime: 4512, Length: 153.7, Nodes Expanded: 876, Memory: 3528
(C5) Time: 2, Runtime: 4425, Length: 227.92, Nodes Expanded: 870, Memory: 3736
(C6) Time: 1, Runtime: 2968, Length: 156.39, Nodes Expanded: 558, Memory: 2250
(C7) Time: 3, Runtime: 6064, Length: 261.0, Nodes Expanded: 1150, Memory: 4700
(C8) Time: 1, Runtime: 3104, Length: 162.28, Nodes Expanded: 614, Memory: 2740
(C9) Time: 2, Runtime: 4088, Length: 204.02, Nodes Expanded: 758, Memory: 3410
(C10) Time: 2, Runtime: 3152, Length: 67.77, Nodes Expanded: 580, Memory: 2665
(D1) Time: 4, Runtime: 4944, Length: 262.69, Nodes Expanded: 950, Memory: 3841
(D2) Time: 3, Runtime: 4160, Length: 167.06, Nodes Expanded: 784, Memory: 3269
(D3) Time: 4, Runtime: 4904, Length: 175.67, Nodes Expanded: 928, Memory: 3977
(D4) Time: 3, Runtime: 4872, Length: 189.94, Nodes Expanded: 960, Memory: 4188
(D5) Time: 1, Runtime: 2776, Length: 152.24, Nodes Expanded: 538, Memory: 2820
(D6) Time: 3, Runtime: 5336, Length: 271.49, Nodes Expanded: 1018, Memory: 4800
(D7) Time: 3, Runtime: 5520, Length: 252.58, Nodes Expanded: 1104, Memory: 5037
(D8) Time: 2, Runtime: 2859, Length: 75.13, Nodes Expanded: 541, Memory: 2330
(D9) Time: 2, Runtime: 3640, Length: 146.62, Nodes Expanded: 752, Memory: 3176
(D10) Time: 2, Runtime: 3464, Length: 126.97, Nodes Expanded: 661, Memory: 2640
(E1) Time: 2, Runtime: 4496, Length: 182.56, Nodes Expanded: 794, Memory: 3615
(E2) Time: 3, Runtime: 4574, Length: 196.28, Nodes Expanded: 874, Memory: 3531
(E3) Time: 2, Runtime: 4504, Length: 198.87, Nodes Expanded: 834, Memory: 3937
(E4) Time: 3, Runtime: 6502, Length: 224.79, Nodes Expanded: 1220, Memory: 4809
(E5) Time: 1, Runtime: 2200, Length: 58.06, Nodes Expanded: 352, Memory: 1907
(E6) Time: 3, Runtime: 5302, Length: 209.69, Nodes Expanded: 994, Memory: 4033
(E7) Time: 2, Runtime: 4438, Length: 181.4, Nodes Expanded: 862, Memory: 3570
(E8) Time: 2, Runtime: 3256, Length: 160.28, Nodes Expanded: 626, Memory: 2834
(E9) Time: 2, Runtime: 4056, Length: 173.75, Nodes Expanded: 765, Memory: 3706
(E10) Time: 3, Runtime: 5312, Length: 258.01, Nodes Expanded: 1022, Memory: 4700

(Average) Time: 2.78, Runtime: 4386.92, Length: 188.7, Nodes Expanded: 834.5, Memory: 3650.76
